SYS_ID,BRAND,YY,SEASON,YYSEASON,STYLE_NO,STYLE_PO_NO,DEGREE,ITEM,SELLINGPRICE,MFGCOST,MARKUP,PURCHASEPRICE
FNF,X,25,6,25F,DMTP65056,DMTP65056K0001,K0001,TP,109000,3000,33,3000
FNF,X,25,4,25F,DWWJ4A054,DWWJ4A054K0001,K0001,WJ,249000,10000,23,10000
FNF,X,25,4,25F,DMWJ3A054,DMWJ3A054K0001,K0001,WJ,249000,10000,23,10000
FNF,X,25,4,25F,DWWJ4E054,DWWJ4E054K0001,K0001,WJ,439000,10000,40,10000
FNF,M,25,N,25N,3ACRVD15N,3ACRVD15NK0002,K0002,CR,109000,18084,5,17750
FNF,M,25,N,25N,3ABQA015N,3ABQA015NK0003,K0003,BQ,99000,14816,6,14420
FNF,M,25,N,25N,3ACPV085N,3ACPV085NH0002,H0002,CP,43000,5910,7,5860
FNF,M,25,N,25N,3ACPV015N,3ACPV015NG0003,G0003,CP,43000,5732,7,5620
FNF,ST,25,4,25F,TWKV15054,TWKV15054K0001,K0001,KV,139000,31460,4,31460
FNF,ST,25,4,25F,TWKU15054,TWKU15054K0001,K0001,KU,159000,33700,4,33700
FNF,M,25,N,25N,3ACPB105N,3ACPB105NK0003,K0003,CP,46000,6743,6,6620
FNF,M,25,N,25N,3ACPB095N,3ACPB095NK0002,K0002,CP,39000,51,696,1
FNF,I,25,N,25N,7ACP8805N,7ACP8805NK0003,K0003,CP,39000,7870,5,7820
FNF,I,25,N,25N,7ACPC015N,7ACPC015NK0003,K0003,CP,49000,7550,6,7500
FNF,I,25,N,25N,7ACPVT75N,7ACPVT75NK0002,K0002,CP,36000,7650,4,7600
FNF,I,25,N,25N,7ACPVT85N,7ACPVT85NK0002,K0002,CP,43000,7950,5,7900
FNF,I,25,N,25N,7FCPV155N,7FCPV155NK0002,K0002,CP,39000,8850,4,8800
FNF,X,25,6,25F,DMDJCK056,DMDJCK056D0001,D0001,DJ,430000,10000,39,10000
FNF,M,25,N,25N,3ASXD015N,3ASXD015NH0002,H0002,SX,139000,25100,5,25050
FNF,M,25,N,25N,3ARNA065N,3ARNA065NH0002,H0002,RN,129000,21680,5,21630
FNF,M,25,N,25N,3ARNA065N,3ARNA065NG0003,G0003,RN,129000,22113,5,21630
FNF,M,25,N,25N,3ASXS015N,3ASXS015NH0003,H0003,SX,159000,25900,6,25850
FNF,M,25,N,25N,3ASXM075N,3ASXM075NH0003,H0003,SX,159000,24750,6,24700
FNF,M,25,N,25N,3ASXE015N,3ASXE015NH0002,H0002,SX,169000,26560,6,26510
FNF,ST,25,3,25S,TMPQ10853,TMPQ10853K0001,K0001,PQ,129000,27170,4,27170
FNF,M,25,N,25N,3ASXD025N,3ASXD025NH0002,H0002,SX,159000,24560,6,24510
FNF,M,25,N,25N,3ASXD015N,3ASXD015NH0003,H0003,SX,139000,25100,5,25050
FNF,M,25,N,25N,3ASHD045N,3ASHD045NH0002,H0002,SH,139000,21770,6,21720
FNF,M,25,N,25N,3ACPB045N,3ACPB045NK0012,K0012,CP,39000,5327,7,5220
FNF,M,25,N,25N,3ACPW015N,3ACPW015NK0003,K0003,CP,36000,4862,7,4760
FNF,M,25,N,25N,3ACPDD15N,3ACPDD15NK0003,K0003,CP,36000,4903,7,4800
FNF,M,25,N,25N,3ACPVV55N,3ACPVV55NK0002,K0002,CP,39000,5641,6,5110
FNF,V,25,6,25F,VDPT20156,VDPT20156K0001,K0001,PT,530000,1,530000,1
FNF,I,25,3,25S,7ATSB1153,7ATSB1153K0002,K0002,TS,49000,10440,4,10320
FNF,I,25,3,25S,7ATSB0453,7ATSB0453K0003,K0003,TS,33000,6830,4,6710
FNF,I,25,3,25S,7ATSM0453,7ATSM0453K0002,K0002,TS,49000,11120,4,10250
FNF,M,25,N,25N,3ACPB045N,3ACPB045NK0013,K0013,CP,39000,5327,7,5220
FNF,M,25,N,25N,3ACPB055N,3ACPB055NK0004,K0004,CP,39000,5681,6,5570
FNF,X,25,6,25F,DXDV75056,DXDV75056K0001,K0001,DV,199000,45520,0,45520
FNF,X,25,6,25F,DXDJ5E056,DXDJ5E056K0001,K0001,DJ,189000,10000,17,10000
FNF,X,25,3,25S,DXRS8C053,DXRS8C053C0001,C0001,RS,59000,9040,6,9040
FNF,M,25,N,25N,3ASHC015N,3ASHC015ND0002,D0002,SH,129000,21480,5,21430
FNF,M,25,N,25N,3ASHD045N,3ASHD045ND0002,D0002,SH,139000,21770,6,21720
FNF,M,25,N,25N,3ASHW075N,3ASHW075ND0004,D0004,SH,149000,24540,6,24490
FNF,M,25,N,25N,3ASHWD15N,3ASHWD15ND0004,D0004,SH,179000,28380,6,28330
FNF,M,25,N,25N,3ACPV055N,3ACPV055NG0002,G0002,CP,46000,6652,6,6530
FNF,X,25,4,25F,DMZT31054,DMZT31054K0001,K0001,ZT,129000,3000,0,3000
FNF,X,25,4,25F,DWHD42054,DWHD42054K0001,K0001,HD,119000,3000,0,3000
FNF,X,25,4,25F,DXHD21054,DXHD21054K0001,K0001,HD,119000,3000,0,3000
FNF,X,25,6,25F,DXDV79056,DXDV79056K0001,K0001,DV,249000,57120,4,57120
FNF,X,25,N,25N,DXCR5115N,DXCR5115NK0001,K0001,CR,89000,10000,8,10000
FNF,X,25,N,25N,DXBK5015N,DXBK5015NK0001,K0001,BK,159000,10000,14,10000
